0,21,20
1,8,17
1,24,7
1,24,16
2,21,20
2,23,11
3,6,7
3,24,15
3,25,12
4,23,16
4,24,13
5,9,22
5,23,11
6,10,10
6,22,20
6,24,6
7,6,13
7,7,11
7,24,17
7,25,15
8,13,21
8,22,11
9,6,7
9,15,20
9,16,18
9,23,11
10,9,16
10,22,22
10,24,11
11,6,20
11,7,11
11,15,18
11,16,13
11,24,10
12,23,21
13,7,21
13,24,12
14,5,21
14,11,19
14,16,17
14,24,14
15,6,20
15,8,19
15,25,8
16,4,12
16,21,22
16,24,11
17,17,3
17,24,12
17,25,9
18,6,23
18,22,12
19,5,23
19,7,22
19,9,21
19,24,10
20,8,26
20,24,13
21,23,15
22,18,4
22,20,4
22,24,12
22,25,10
23,4,10
23,12,16
23,27,9
24,21,24
24,22,18
25,14,20
25,15,18
25,21,12
26,14,14
26,24,8
26,25,18
27,14,15
28,24,13
29,24,13
30,14,15
30,23,11
30,24,18
31,14,14
31,24,7
31,24,19
32,7,7
32,20,17
32,23,6
33,24,9
34,22,20
35,6,10
35,11,11
35,14,12
35,18,13
35,24,16
35,25,9
36,8,12
36,12,16
36,13,14
36,22,10
37,9,16
37,10,14
37,18,8
38,8,5
38,14,13
38,21,6
38,22,16
39,16,17
39,17,15
39,18,12
39,20,8
40,8,16
40,21,17
40,23,9
41,9,13
41,22,16
42,8,18
42,11,16
42,20,17
42,21,10
43,5,16
43,6,12
43,13,13
43,21,9
44,8,20
44,10,10
44,11,8
44,22,14
45,7,11
45,23,14
46,5,15
46,14,15
46,15,10
46,22,17
46,23,13
47,22,13
48,22,15
48,23,7
49,21,17
50,20,9
50,20,18
51,10,17
51,15,16
51,20,13
52,7,14
52,13,17
52,14,15
52,15,13
52,23,12
53,24,19
54,22,16
54,22,20
55,7,10
55,20,15
56,7,18
56,14,15
56,19,18
56,20,16
57,7,13
57,13,16
57,14,13
57,20,11
58,10,6
58,12,15
58,21,9
58,22,20
59,6,20
59,21,10
59,21,20
60,7,10
60,24,15
60,25,12
61,7,7
61,11,7
61,14,15
61,22,8
61,22,19
62,19,20
62,21,17
62,22,15
63,20,10
63,20,20
64,9,16
64,9,19
64,10,9
64,20,14
64,21,12
65,9,16
65,9,19
65,10,9
65,20,14
65,21,12
66,9,16
66,9,19
66,10,9
66,20,14
66,21,12
67,8,8
67,20,19
67,22,16
67,23,13
68,6,19
68,20,17
68,22,14
69,6,21
69,8,14
69,21,17
69,22,15
70,10,11
70,22,19
70,23,10
71,23,18
71,24,10
72,9,7
72,11,14
72,22,9
72,22,19
73,4,18
73,5,11
73,12,11
73,18,9
74,11,19
74,12,17
74,13,15
74,23,11
75,7,11
75,8,19
75,18,17
75,19,15
76,10,17
76,20,18
76,21,8
77,5,18
77,12,15
77,20,16
77,21,14
78,11,16
78,12,14
78,22,9
78,22,19
79,21,15
79,24,21
80,6,7
80,9,9
80,11,10
80,23,13
81,20,17
81,21,11
82,6,8
82,20,9
82,21,17
83,6,14
83,6,17
83,7,12
83,16,15
83,22,15
83,22,17
83,23,13
84,6,18
84,7,12
84,8,10
84,21,18
84,22,16
85,21,9
85,23,19
86,6,10
86,9,15
86,20,9
86,21,19
87,21,9
87,22,19
88,8,11
88,22,15
88,24,19
89,16,9
90,10,10
90,14,6
90,18,16
91,10,10
91,14,6
91,18,16
92,4,17
92,8,14
92,9,9
92,14,7
93,17,17
93,18,14
93,19,10
94,9,14
94,18,17
94,19,8
95,4,18
95,17,14
95,18,12
96,5,8
96,18,7
96,18,18
97,19,15
97,20,13
98,6,16
98,12,9
98,19,17
98,21,7
99,6,10
99,18,17
99,19,15
100,8,6
100,10,6
100,13,7
100,22,10
101,7,9
101,22,14
102,6,18
102,7,16
102,8,13
102,17,17
102,20,5
103,6,18
103,7,16
103,8,13
103,17,17
103,20,5
104,3,18
104,13,14
104,21,5
105,21,11
106,17,5
106,17,16
107,9,16
107,14,10
107,15,8
107,18,18
107,20,3
108,9,7
108,11,13
108,12,11
108,21,4
108,21,15
109,5,19
109,11,18
109,17,14
110,7,17
110,14,13
110,21,4
111,4,16
111,13,13
111,21,5
112,5,18
112,13,15
112,19,11
113,12,11
113,18,16
113,21,4
114,8,19
114,18,19
114,20,8
115,18,9
115,19,17
116,14,12
116,17,15
116,20,5
117,2,7
117,18,7
117,18,19
118,10,11
118,11,9
118,21,5
119,10,8
119,19,12
119,22,4
120,19,11
120,20,8
121,5,18
121,20,11
122,19,15
122,20,13
123,5,16
123,7,16
123,9,15
123,22,6
124,19,11
124,20,7
124,21,5
125,7,12
125,9,9
125,21,6
126,16,13
126,17,11
126,21,5
127,3,12
127,5,19
127,22,14
128,3,5
128,20,15
128,22,6
129,3,18
129,12,14
129,20,7
130,20,19
130,22,16
130,23,8
131,4,17
131,12,13
131,18,14
131,19,12
132,6,18
132,18,6
132,19,16
133,20,19
133,21,14
134,4,18
134,5,13
134,6,10
134,17,15
134,18,13
135,4,13
135,11,11
135,18,5
136,4,18
136,5,12
136,20,18
136,21,16
137,7,17
137,11,14
137,14,9
137,19,7
137,20,20
138,4,20
138,11,17
138,13,16
138,16,15
138,25,12
139,7,5
139,12,6
139,15,7
139,19,9
140,18,13
140,20,5
141,16,9
141,20,15
141,21,6
142,6,8
142,8,11
142,9,9
142,21,6
143,5,12
143,7,20
143,21,16
144,21,18
145,7,17
145,13,19
145,21,8
145,22,17
146,6,8
146,19,18
146,20,9
147,20,16
147,21,14
147,22,10
148,6,18
148,18,17
148,19,15
149,20,16
149,21,14
150,19,20
151,8,17
151,10,17
151,13,16
151,21,12
152,17,15
152,18,7
153,6,18
153,8,17
153,17,13
154,7,9
154,12,9
154,17,10
154,20,12
155,7,17
155,12,15
155,13,12
155,18,8
156,7,18
156,8,12
156,18,15
156,19,13
157,20,13
158,17,12
158,17,18
159,17,9
159,18,18
160,3,19
160,4,16
160,5,11
160,12,14
160,17,9
161,7,18
161,19,16
161,20,14
161,27,18
162,8,17
162,19,19
162,20,10
163,18,8
163,18,14
164,4,19
164,5,13
164,19,19
165,19,17
165,20,8
166,9,16
166,19,8
166,19,16
167,8,16
167,20,15
168,16,16
168,17,14
168,22,10
169,4,17
169,5,11
169,19,12
169,21,17
170,11,15
170,12,13
170,21,10
171,20,5
171,22,16
172,21,12
173,8,7
173,18,9
173,22,20
174,4,20
174,5,16
174,13,18
174,14,13
174,22,10
175,6,19
175,7,16
175,8,13
175,14,19
175,15,14
175,25,10
176,8,7
176,10,9
176,15,12
176,18,8
176,20,22
177,4,18
177,19,7
177,21,20
178,12,16
178,13,14
178,20,10
179,14,18
179,15,10
179,20,8
179,22,18
180,18,15
180,23,11
180,23,17
181,19,19
181,20,17
181,21,14
181,22,12
182,20,24
182,21,16
183,23,15
183,24,10
184,21,16
185,21,15
186,23,10
187,5,13
187,13,20
187,16,13
187,19,18
187,24,18
187,25,15
187,26,13
187,27,11
188,19,19
188,21,16
188,22,14
188,23,10
189,6,20
189,9,18
189,19,11
189,19,18
190,7,16
190,19,8
190,19,15
191,5,7
191,9,9
191,18,13
191,19,7
192,19,12
193,5,15
193,6,13
193,12,13
193,13,15
193,15,17
193,17,16
193,18,14
194,18,13
194,20,19
195,10,12
195,18,16
195,19,7
196,6,17
196,18,11
197,11,12
197,14,13
197,18,8
197,18,15
198,19,12
199,5,18
199,6,12
199,10,16
199,11,13
199,20,8
200,8,15
200,9,13
200,16,10
201,4,22
201,20,14
202,12,8
202,20,10
202,21,3
203,5,16
203,17,12
204,2,12
204,12,19
204,13,17
204,14,15
204,15,13
205,8,7
205,18,8
205,20,18
206,2,18
206,4,8
206,9,7
206,20,7
206,20,14
207,6,16
207,10,7
207,12,16
207,20,12
207,21,10
208,7,4
208,17,14
208,20,7
209,7,5
209,19,9
209,19,14
209,20,7
210,8,5
210,18,15
210,20,8
211,2,14
211,6,4
211,8,14
211,20,13
211,20,19
212,5,14
212,7,5
212,20,11
212,20,20
212,21,18
213,8,4
213,19,16
213,20,8
214,10,4
214,19,8
214,19,15
215,20,13
215,21,6
216,5,14
216,17,12
216,17,18
217,6,15
217,7,7
217,16,13
217,16,18
218,5,11
218,15,10
218,15,15
219,5,14
219,18,18
220,8,8
220,17,14
220,18,20
221,7,4
221,20,10
221,20,17
222,5,14
222,16,13
222,17,18
223,5,14
223,6,8
223,16,14
223,16,19
224,5,15
224,8,7
224,10,16
224,11,14
224,17,13
224,17,20
224,18,18
225,7,6
225,17,16
226,8,14
226,16,11
226,16,17
227,4,11
227,16,14
227,17,10
228,6,5
228,16,10
228,16,15
229,6,7
229,16,12
229,16,17
230,7,5
230,16,11
230,16,16
231,8,7
231,14,15
231,15,11
232,5,14
232,7,5
232,10,4
232,17,16
232,18,12
233,8,7
233,19,11
233,19,16
234,6,11
234,8,3
234,16,9
234,16,15
235,9,5
235,18,16
236,16,10
236,17,15
237,8,5
237,10,15
237,16,12
237,17,18
238,6,14
238,15,13
238,16,18
239,8,18
239,16,9
239,16,16
240,7,4
240,14,9
240,14,14
241,4,6
241,8,9
241,19,12
242,8,3
242,10,4
242,11,13
242,16,10
242,16,17
243,4,4
243,19,9
244,7,7
244,18,11
245,10,2
245,12,10
245,15,14
245,17,7
246,7,5
246,10,13
246,14,16
246,15,8
247,9,14
247,16,14
247,17,12
248,6,5
248,19,8
249,7,11
